# KAYNAK SAĞLIK RAPORU — 2026-08-28 12:06
# aktif=36  üretiyor=21  boş(200/0)=0  hata/timeout=0
# çıkarım : 240/240 haberin tam metni çıktı (%100)
# dedup   : 71/240 haber filtreleri geçti (%30)
# 🚨 DEDUP SIFIR (2) [metin var, filtreler eliyor]: Recorded Future, Krebs on Security
# KAYNAK                      HAM  KALAN  METİN  HAVUZ  DURUM
The Hacker News              40     40     40     10  OK
The Register                 40     26     26      7  OK
Dark Reading                 40     23     23      7  OK
BleepingComputer             15     15     15      7  OK
SecurityWeek                 10     10     10      6  OK
Industrial Cyber              9      9      9      4  OK
TechCrunch Security          20     11     11      3  OK
Cyberscoop                   10     10     10      3  OK
SANS ISC                     10     10     10      3  OK
Security Affairs             10     10     10      3  OK
The Record                    5      5      5      3  OK
ANSSI (CERT-FR)              40     15     15      2  OK
CSO Online                   20     11     11      2  OK
Help Net Security            10     10     10      2  OK
Talos Intelligence           15      4      4      2  OK
Securelist (Kaspersky)       10      2      2      2  OK
The Cyber Express            10      9      9      1  OK
Graham Cluley                20      4      4      1  OK
Schneier on Security         10      4      4      1  OK
Microsoft Security           10      3      3      1  OK
NCSC UK                      20      1      1      1  OK
Recorded Future              40      3      3      0  🚨 DEDUP SIFIR (OK)
Unit 42                      15      2      2      0  ↩️  ZATEN RAPORLANMIŞ (OK)
NIST                         40      1      1      0  ↩️  ZATEN RAPORLANMIŞ (OK)
Bellingcat                   10      1      1      0  ↩️  ZATEN RAPORLANMIŞ (OK)
Krebs on Security            10      1      1      0  🚨 DEDUP SIFIR (OK)
BSI                          40      0      -      0  OK
IranWire                     40      0      -      0  OK
Mandiant (Google Cloud)      20      0      -      0  OK
Infoblox Blog                12      0      -      0  OK
CERT-EU                      10      0      -      0  OK
Citizen Lab                  10      0      -      0  OK
CrowdStrike                  10      0      -      0  OK
Proofpoint Threat Insight    10      0      -      0  OK
SentinelOne Labs             10      0      -      0  OK
The DFIR Report              10      0      -      0  OK
